instance;size;rep;v;cost;time;iter;ges-num-reduced;ges-total-time;lns-total-time;sp-num-improve;sp-pool-size;sp-total-time
bar-n100-1;100;1;6;735.00;300.00;141;1;56.10;243.85;0;0;0
bar-n100-2;100;1;5;556.00;300.00;188;1;54.18;245.78;0;0;0
bar-n100-3;100;1;6;746.00;300.00;340;1;64.89;235.06;0;0;0.00
bar-n100-4;100;1;12;1167.00;300.00;714;2;97.97;201.94;0;0;0.00
bar-n100-5;100;1;6;838.00;300.00;355;1;64.36;235.59;0;0;0.00
bar-n100-6;100;1;3;788.00;300.00;460;1;77.68;222.25;0;0;0.00
ber-n100-1;100;1;13;1857.00;300.00;720;2;111.88;188.02;0;0;0.00
ber-n100-2;100;1;6;1491.00;300.00;428;1;97.81;202.13;0;0;0.00
ber-n100-3;100;1;3;713.00;300.00;443;1;74.71;225.21;0;0;0.00
ber-n100-4;100;1;3;494.00;300.00;302;1;85.84;214.11;0;0;0.00
ber-n100-5;100;1;5;945.00;300.00;425;1;89.57;210.38;0;0;0.00
ber-n100-6;100;1;14;2147.00;300.00;691;2;96.21;203.70;0;0;0.00
ber-n100-7;100;1;7;1937.00;300.00;525;1;114.97;184.97;0;0;0.00
nyc-n100-1;100;1;6;634.00;300.00;419;1;114.61;185.34;0;0;0.00
nyc-n100-2;100;1;4;567.00;300.00;136;1;227.57;72.41;0;0;0.00
nyc-n100-3;100;1;3;492.00;300.00;614;1;115.94;183.96;0;0;0.00
nyc-n100-4;100;1;2;556.00;300.00;382;1;82.24;217.68;0;0;0.00
nyc-n100-5;100;1;2;671.00;300.00;734;1;130.85;169.03;0;0;0.00
poa-n100-1;100;1;12;1589.00;300.00;599;1;103.09;196.84;0;0;0.00
poa-n100-2;100;1;15;1539.00;300.00;470;2;88.28;211.65;0;0;0.00
poa-n100-3;100;1;10;1301.00;300.00;684;2;115.00;184.91;0;0;0.00
poa-n100-4;100;1;7;1668.00;300.00;745;2;118.68;181.23;0;0;0.00
poa-n100-5;100;1;6;624.00;300.00;382;1;90.48;209.47;0;0;0.00
poa-n100-6;100;1;3;562.00;300.00;310;1;76.19;223.75;0;0;0.00
poa-n100-7;100;1;5;828.00;300.00;829;2;134.02;165.88;0;0;0.00
bar-n200-1;200;1;22;1829.00;900.00;659;1;262.11;637.59;0;0;0.00
bar-n200-2;200;1;23;2072.00;900.00;735;1;303.01;596.63;0;0;0.00
bar-n200-3;200;1;9;1564.00;900.00;119;1;214.90;684.95;0;0;0
bar-n200-4;200;1;13;840.00;900.00;381;1;129.50;770.30;0;0;0.00
bar-n200-5;200;1;5;858.00;900.00;393;0;248.63;651.18;0;0;0.00
bar-n200-6;200;1;9;863.00;900.00;128;1;139.68;760.12;0;0;0
bar-n200-7;200;1;12;1768.00;900.00;609;1;425.90;473.85;0;0;0.00
ber-n200-1;200;1;28;3194.00;900.00;551;1;281.24;618.49;0;0;0.00
ber-n200-2;200;1;12;3265.00;900.00;1043;1;407.45;492.12;0;0;0.00
ber-n200-3;200;1;9;901.00;900.00;376;1;177.12;722.68;0;0;0.00
ber-n200-4;200;1;5;1086.00;900.00;423;1;317.48;582.30;0;0;0.00
ber-n200-5;200;1;27;3970.00;900.00;801;1;339.19;560.44;0;0;0.00
ber-n200-6;200;1;10;3028.00;900.00;378;1;291.11;608.73;0;0;0.00
nyc-n200-1;200;1;7;943.00;900.00;120;1;654.87;245.06;0;0;0.00
nyc-n200-2;200;1;8;1105.00;900.00;681;2;450.21;449.54;0;0;0.00
nyc-n200-3;200;1;7;1019.00;900.00;243;2;702.14;197.77;0;0;0.00
nyc-n200-4;200;1;4;1042.00;900.00;159;1;564.00;335.91;0;0;0.00
nyc-n200-5;200;1;5;1193.00;900.00;226;1;535.95;363.86;0;0;0
poa-n200-1;200;1;25;2435.00;900.00;776;2;318.95;580.70;0;0;0.00
poa-n200-2;200;1;13;2361.00;900.00;74;1;199.14;700.71;0;0;0
poa-n200-3;200;1;22;1851.00;900.00;400;1;162.45;737.34;0;0;0.00
poa-n200-4;200;1;10;1163.00;900.00;571;1;255.09;644.66;0;0;0.00
poa-n200-5;200;1;15;2321.00;900.00;767;1;333.39;566.24;0;0;0.00
poa-n200-6;200;1;28;3062.00;900.00;648;1;343.56;556.14;0;0;0.00
poa-n200-7;200;1;11;2487.00;900.00;465;1;301.91;597.89;0;0;0.00
bar-n400-1;400;1;32;3123.00;900.00;38;1;176.11;723.61;0;0;0
bar-n400-2;400;1;30;2775.00;900.00;40;1;180.46;719.30;0;0;0
bar-n400-3;400;1;11;2573.00;900.00;103;1;285.56;614.15;0;0;0
bar-n400-4;400;1;18;1787.00;900.00;172;1;267.31;632.39;0;0;0.00
bar-n400-5;400;1;41;3384.00;900.00;161;1;234.91;664.80;0;0;0.00
bar-n400-6;400;1;21;2986.00;900.00;125;2;140.73;759.05;0;0;0.00
bar-n400-7;400;1;12;2987.00;900.00;98;1;409.09;490.61;0;0;0
ber-n400-1;400;1;34;5638.00;900.00;217;2;335.38;564.24;0;0;0.00
ber-n400-2;400;1;34;5528.00;900.00;170;2;286.14;613.56;0;0;0.00
ber-n400-3;400;1;43;3553.00;900.00;152;1;202.41;697.32;0;0;0.00
ber-n400-4;400;1;19;2217.00;900.00;173;1;211.11;688.63;0;0;0.00
ber-n400-5;400;1;27;5714.00;900.00;50;1;210.28;689.45;0;0;0
ber-n400-6;400;1;19;6309.00;900.00;255;2;433.56;466.05;0;0;0.00
ber-n400-7;400;1;20;6503.00;900.00;257;2;450.55;449.01;0;0;0.00
nyc-n400-1;400;1;13;1978.00;900.00;293;2;523.25;376.37;0;0;0.00
nyc-n400-2;400;1;14;1975.00;900.00;234;2;516.87;382.83;0;0;0.00
nyc-n400-3;400;1;7;1861.00;900.00;27;1;811.28;88.65;0;0;0.00
nyc-n400-4;400;1;7;1982.00;900.00;99;1;723.41;176.42;0;0;0.00
nyc-n400-5;400;1;7;1922.00;900.01;32;1;815.95;83.99;0;0;0.00
poa-n400-1;400;1;25;4550.00;900.00;43;1;170.84;728.94;0;0;0
poa-n400-2;400;1;42;3101.00;900.00;86;1;105.16;794.65;0;0;0.00
poa-n400-3;400;1;40;2849.00;900.00;117;1;144.65;755.10;0;0;0.00
poa-n400-4;400;1;19;2186.00;900.00;175;2;201.38;698.35;0;0;0.00
poa-n400-5;400;1;15;2303.00;900.00;170;1;336.50;563.22;0;0;0.00
poa-n400-6;400;1;42;5400.00;900.00;175;1;273.86;625.81;0;0;0.00
bar-n600-1;600;1;43;3745.00;1800.01;91;1;332.73;1466.82;0;0;0.00
bar-n600-2;600;1;24;3947.00;1800.00;103;1;368.58;1430.91;0;0;0.00
bar-n600-3;600;1;24;3931.00;1800.00;100;1;423.83;1375.67;0;0;0.00
bar-n600-4;600;1;53;2830.00;1800.00;90;1;323.19;1476.41;0;0;0.00
bar-n600-5;600;1;13;2631.00;1800.00;119;2;582.10;1217.07;0;0;0
bar-n600-6;600;1;33;4952.00;1800.00;92;1;291.80;1507.85;0;0;0.00
bar-n600-7;600;1;33;4888.00;1800.00;43;1;293.89;1505.72;0;0;0
ber-n600-1;600;1;48;7615.00;1800.00;100;1;431.94;1367.60;0;0;0.00
ber-n600-2;600;1;32;3879.00;1800.00;105;1;449.75;1349.81;0;0;0.00
ber-n600-3;600;1;29;3968.00;1800.00;166;2;505.52;1293.83;0;0;0.00
ber-n600-4;600;1;77;11085.00;1800.00;177;2;747.37;1051.92;0;0;0.00
ber-n600-5;600;1;34;8546.00;1800.00;100;2;315.79;1483.83;0;0;0.00
ber-n600-6;600;1;38;10292.00;1800.00;183;2;586.15;1213.18;0;0;0.00
nyc-n600-1;600;1;21;3024.00;1800.00;146;1;1023.31;776.24;0;0;0.00
nyc-n600-2;600;1;19;2720.00;1800.00;195;2;933.30;866.11;0;0;0.00
nyc-n600-3;600;1;20;2728.00;1800.00;66;1;1122.65;677.02;0;0;0
nyc-n600-4;600;1;9;2526.00;1800.01;27;3;1558.04;241.82;0;0;0.00
nyc-n600-5;600;1;11;2946.00;1800.01;36;1;1559.26;240.62;0;0;0.00
poa-n600-1;600;1;55;6233.00;1800.00;90;1;334.67;1464.92;0;0;0.00
poa-n600-2;600;1;27;5271.00;1800.00;100;1;365.30;1434.24;0;0;0.00
poa-n600-3;600;1;24;2220.00;1800.01;109;1;319.33;1480.13;0;0;0.00
poa-n600-4;600;1;27;3136.00;1800.00;95;1;262.60;1537.02;0;0;0.00
poa-n600-5;600;1;20;2586.00;1800.00;79;2;411.71;1387.71;0;0;0
poa-n600-6;600;1;77;8126.00;1800.00;83;3;344.03;1455.65;0;0;0.00
poa-n600-7;600;1;61;7584.00;1800.00;151;2;494.57;1304.94;0;0;0.00
bar-n800-1;800;1;80;5609.00;3600.01;66;2;575.20;3024.22;0;0;0.00
bar-n800-2;800;1;31;5115.00;3600.00;59;1;608.81;2990.17;0;0;0
bar-n800-3;800;1;23;5864.00;3600.00;78;2;707.92;2891.25;0;0;0
bar-n800-4;800;1;25;2791.00;3600.01;141;1;907.78;2690.91;0;0;0.00
bar-n800-5;800;1;81;6120.00;3600.00;52;1;421.10;3178.43;0;0;0.00
bar-n800-6;800;1;82;6471.00;3600.00;58;1;556.35;3043.12;0;0;0.00
bar-n800-7;800;1;31;5582.00;3600.00;56;2;533.47;3065.68;0;0;0
ber-n800-1;800;1;59;5382.00;3600.01;66;1;526.91;3072.45;0;0;0.00
ber-n800-2;800;1;63;6386.00;3600.00;89;1;710.94;2888.20;0;0;0.00
ber-n800-3;800;1;18;3698.00;3600.00;112;1;1323.64;2275.23;0;0;0.00
ber-n800-4;800;1;109;16090.00;3600.01;124;3;1169.21;2429.75;0;0;0.00
ber-n800-5;800;1;35;11115.00;3600.00;90;1;729.72;2869.46;0;0;0.00
ber-n800-6;800;1;49;13418.00;3600.00;172;2;1322.37;2276.24;0;0;0.00
nyc-n800-1;800;1;23;3140.00;3600.01;63;1;1617.63;1981.53;0;0;0
nyc-n800-2;800;1;27;3742.00;3600.00;179;4;1326.21;2272.80;0;0;0.00
nyc-n800-3;800;1;28;3802.00;3600.00;157;1;1049.16;2549.87;0;0;0.00
nyc-n800-4;800;1;12;3194.00;3600.00;28;2;2768.89;830.77;0;0;0.00
nyc-n800-5;800;1;14;3703.00;3600.01;44;2;3007.83;591.83;0;0;0.00
poa-n800-1;800;1;60;9236.00;3600.00;150;2;1271.63;2327.01;0;0;0.00
poa-n800-2;800;1;73;8058.00;3600.00;83;1;687.17;2912.12;0;0;0.00
poa-n800-3;800;1;50;9818.00;3600.00;102;2;762.50;2836.69;0;0;0.00
poa-n800-4;800;1;47;7932.00;3600.00;76;2;574.45;3024.93;0;0;0.00
poa-n800-5;800;1;72;4268.00;3600.00;70;2;458.20;3141.24;0;0;0.00
poa-n800-6;800;1;37;4134.00;3600.00;133;2;720.49;2878.65;0;0;0.00
poa-n800-7;800;1;38;8005.00;3600.00;92;1;546.57;3052.74;0;0;0.00
bar-n1000-1;1000;1;54;7940.00;3600.01;36;1;734.00;2865.16;0;0;0
bar-n1000-2;1000;1;38;3452.00;3600.00;56;2;827.78;2770.99;0;0;0.00
bar-n1000-3;1000;1;90;4837.00;3600.00;31;1;446.57;3152.77;0;0;0.00
bar-n1000-4;1000;1;19;3466.00;3600.00;62;2;788.50;2810.29;0;0;0.00
bar-n1000-5;1000;1;27;6147.00;3600.00;42;1;790.58;2808.41;0;0;0.00
bar-n1000-6;1000;1;28;6744.00;3600.00;59;1;1125.22;2473.73;0;0;0.00
ber-n1000-1;1000;1;89;15114.00;3600.01;55;2;1216.37;2382.28;0;0;0.00
ber-n1000-2;1000;1;120;16707.00;3600.03;67;3;1251.04;2347.60;0;0;0.00
ber-n1000-3;1000;1;53;13526.00;3600.01;35;3;648.90;2950.59;0;0;0.00
ber-n1000-4;1000;1;56;14497.00;3600.01;75;1;1197.98;2400.55;0;0;0.00
ber-n1000-5;1000;1;113;15511.00;3600.02;28;1;665.53;2933.77;0;0;0.00
ber-n1000-6;1000;1;154;18966.00;3600.01;39;2;815.91;2782.95;0;0;0.00
ber-n1000-7;1000;1;74;17161.00;3600.00;62;3;961.76;2637.41;0;0;0.00
nyc-n1000-1;1000;1;28;4101.00;3600.02;57;2;913.50;2684.63;0;0;0.00
nyc-n1000-2;1000;1;33;4837.00;3600.00;82;2;1033.72;2564.94;0;0;0.00
nyc-n1000-3;1000;1;34;4558.00;3600.00;60;3;840.70;2758.28;0;0;0.00
nyc-n1000-4;1000;1;18;4875.00;3600.00;71;2;1126.99;2472.01;0;0;0.00
nyc-n1000-5;1000;1;18;4280.00;3600.01;31;1;2307.22;1292.25;0;0;0.00
poa-n1000-1;1000;1;31;8277.00;3600.01;56;1;930.04;2668.71;0;0;0.00
poa-n1000-2;1000;1;48;10602.00;3600.00;70;1;971.36;2627.34;0;0;0.00
poa-n1000-3;1000;1;69;5586.00;3600.02;37;1;592.92;3006.16;0;0;0.00
poa-n1000-4;1000;1;23;4598.00;3600.00;61;1;1396.07;2202.47;0;0;0.00
poa-n1000-5;1000;1;48;5822.00;3600.00;41;2;556.63;3042.56;0;0;0.00
poa-n1000-6;1000;1;96;11554.00;3600.03;39;2;716.43;2882.77;0;0;0.00
poa-n1000-7;1000;1;75;11524.00;3600.00;121;2;1097.87;2500.76;0;0;0.00
bar-n1500-1;1500;1;77;9078.00;3600.01;13;2;485.04;3114.28;0;0;0.00
bar-n1500-2;1500;1;63;11782.00;3600.00;12;1;524.60;3075.06;0;0;0.00
bar-n1500-3;1500;1;93;6034.00;3600.01;14;1;436.82;3162.63;0;0;0.00
bar-n1500-4;1500;1;61;5066.00;3600.01;17;4;473.52;3125.86;0;0;0.00
bar-n1500-5;1500;1;76;9648.00;3600.00;12;2;505.76;3093.82;0;0;0.00
bar-n1500-6;1500;1;161;12949.00;3600.07;7;1;586.71;3012.87;0;0;0.00
bar-n1500-7;1500;1;41;9982.00;3600.00;33;1;1298.06;2300.26;0;0;0.00
ber-n1500-1;1500;1;175;24214.00;3600.03;4;2;492.86;3106.80;0;0;0.00
ber-n1500-2;1500;1;69;8628.00;3600.05;16;1;605.37;2993.92;0;0;0.00
ber-n1500-3;1500;1;71;9155.00;3600.00;21;2;808.08;2791.48;0;0;0.00
ber-n1500-4;1500;1;37;8616.00;3600.01;20;2;823.91;2775.46;0;0;0.00
ber-n1500-5;1500;1;181;25759.00;3600.12;10;3;800.57;2799.29;0;0;0.00
ber-n1500-6;1500;1;99;21220.00;3600.03;10;2;465.42;3134.17;0;0;0.00
ber-n1500-7;1500;1;101;21683.00;3600.06;9;2;486.23;3113.36;0;0;0.00
nyc-n1500-1;1500;1;47;6803.00;3600.06;9;1;580.20;3017.52;0;0;0.00
nyc-n1500-2;1500;1;52;6553.00;3600.03;19;1;601.48;2997.64;0;0;0.00
nyc-n1500-3;1500;1;47;6109.00;3600.02;16;2;1526.45;2072.75;0;0;0.00
nyc-n1500-4;1500;1;28;7322.00;3600.00;22;3;753.98;2845.29;0;0;0.00
nyc-n1500-5;1500;1;23;5846.00;3600.01;8;2;2361.15;1237.63;0;0;0.00
poa-n1500-1;1500;1;145;17392.00;3600.03;6;1;459.85;3139.85;0;0;0
poa-n1500-2;1500;1;201;23748.00;3600.03;9;4;844.18;2755.64;0;0;0.00
poa-n1500-3;1500;1;69;15099.00;3600.03;12;2;688.07;2911.39;0;0;0
poa-n1500-4;1500;1;63;6594.00;3600.01;28;1;897.64;2700.89;0;0;0.00
poa-n1500-5;1500;1;33;6237.00;3600.01;24;2;739.71;2858.99;0;0;0.00
poa-n1500-6;1500;1;142;16893.00;3600.04;11;1;361.50;3237.92;0;0;0.00
bar-n2000-1;2000;1;98;11860.00;3600.01;15;7;1037.08;2562.00;0;0;0.00
bar-n2000-2;2000;1;98;11722.00;3600.03;17;4;1160.03;2438.91;0;0;0.00
bar-n2000-3;2000;1;147;13163.00;3600.01;10;1;928.94;2670.61;0;0;0.00
bar-n2000-4;2000;1;74;11873.00;3600.05;8;5;1411.75;2187.80;0;0;0.00
bar-n2000-5;2000;1;77;12915.00;3600.01;23;2;1583.96;2014.31;0;0;0
bar-n2000-6;2000;1;177;9507.00;3600.03;9;2;576.02;3023.52;0;0;0.00
bar-n2000-7;2000;1;69;9365.00;3600.02;12;4;576.51;3022.57;0;0;0.00
ber-n2000-1;2000;1;76;12966.00;3600.01;20;3;955.69;2643.46;0;0;0.00
ber-n2000-2;2000;1;280;32805.00;3600.06;5;1;1084.60;2515.05;0;0;0.00
ber-n2000-3;2000;1;167;26961.00;3600.05;13;1;1195.20;2404.07;0;0;0.00
