instance;size;rep;v;cost;time;iter;ges-num-reduced;ges-total-time;lns-total-time;sp-num-improve;sp-pool-size;sp-total-time
lc101;100;1;10;828.94;300.00;1055;0;106.88;192.39;0;10;0.61
lc102;100;1;10;828.94;300.00;893;0;113.85;185.35;0;16;0.70
lc103;100;1;9;1035.35;300.00;692;1;101.95;192.89;0;83;5.07
lc104;100;1;9;860.01;300.00;461;1;77.99;220.25;0;71;1.68
lc105;100;1;10;828.94;300.00;910;0;121.26;178.02;0;12;0.62
lc106;100;1;10;828.94;300.00;823;1;130.16;169.21;0;12;0.53
lc107;100;1;10;828.94;300.00;755;0;133.81;165.56;0;12;0.54
lc108;100;1;10;826.44;300.00;657;0;138.40;160.99;0;16;0.52
lc109;100;1;9;1000.60;300.00;562;1;111.56;185.71;1;86;2.65
lc201;100;1;3;591.56;300.00;884;0;151.75;147.68;0;3;0.47
lc202;100;1;3;591.56;300.00;667;1;110.92;188.49;0;8;0.48
lc203;100;1;3;591.17;300.00;484;0;86.13;213.43;0;7;0.35
lc204;100;1;3;590.60;300.00;230;0;39.30;260.33;0;13;0.29
lc205;100;1;3;588.88;300.00;759;1;117.52;181.83;0;7;0.53
lc206;100;1;3;588.49;300.00;619;1;98.68;200.78;0;7;0.42
lc207;100;1;3;588.29;300.00;559;1;93.05;206.44;0;7;0.39
lc208;100;1;3;588.32;300.00;500;1;90.31;209.25;0;7;0.33
lr101;100;1;19;1650.80;300.00;742;1;86.49;212.70;0;35;0.72
lr102;100;1;17;1487.57;300.00;519;1;66.66;231.53;0;61;1.73
lr103;100;1;13;1292.68;300.00;644;1;73.26;225.12;0;40;1.53
lr104;100;1;9;1013.39;300.00;825;1;120.35;178.98;0;21;0.56
lr105;100;1;14;1377.11;300.00;856;1;95.56;203.60;0;31;0.73
lr106;100;1;12;1252.62;300.00;916;1;104.62;194.49;0;25;0.79
lr107;100;1;10;1111.31;300.00;899;1;119.72;179.39;0;24;0.77
lr108;100;1;9;968.97;300.00;789;1;128.93;170.36;0;19;0.61
lr109;100;1;11;1208.96;300.00;871;1;120.87;178.31;0;26;0.71
lr110;100;1;10;1159.35;300.00;825;1;133.97;165.26;0;21;0.66
lr111;100;1;10;1108.90;300.00;810;1;112.86;186.45;0;26;0.57
lr112;100;1;9;1003.77;300.00;701;2;125.82;173.11;0;25;0.96
lr201;100;1;4;1253.23;300.00;482;1;131.31;168.32;0;10;0.30
lr202;100;1;3;1197.67;300.00;410;1;152.09;147.56;0;11;0.28
lr203;100;1;3;949.40;300.00;261;1;60.67;238.97;0;13;0.30
lr204;100;1;2;849.05;300.00;361;1;62.39;237.28;0;6;0.23
lr205;100;1;3;1054.02;300.00;344;1;105.27;194.12;0;17;0.54
lr206;100;1;3;931.63;300.00;262;1;106.06;193.72;0;7;0.17
lr207;100;1;2;903.06;300.00;292;1;41.00;258.75;0;5;0.18
