instance;size;rep;v;cost;time;iter;ges-num-reduced;ges-total-time;lns-total-time;sp-num-improve;sp-pool-size;sp-total-time
lc101;100;1;10;828.94;300.00;302;0;243.56;56.18;0;10;0.23
lc102;100;1;10;828.94;300.00;273;0;242.53;57.25;0;16;0.19
lc103;100;1;9;1035.35;300.00;226;1;231.68;67.05;0;80;1.25
lc104;100;1;9;860.01;300.00;152;1;214.40;84.89;0;68;0.69
lc105;100;1;10;828.94;300.00;272;0;244.95;54.87;0;12;0.16
lc106;100;1;10;828.94;300.00;265;1;244.75;55.02;0;12;0.21
lc107;100;1;10;828.94;300.00;253;0;244.10;55.72;0;12;0.15
lc108;100;1;10;826.44;300.00;207;0;247.74;52.10;0;16;0.14
lc109;100;1;9;1000.60;300.00;187;1;227.97;71.33;0;64;0.68
lc201;100;1;3;591.56;300.00;229;0;261.13;38.73;0;3;0.11
lc202;100;1;3;591.56;300.00;183;1;248.67;51.18;0;8;0.11
lc203;100;1;3;591.17;300.00;164;1;224.97;74.90;0;7;0.10
lc204;100;1;3;590.60;300.00;99;0;185.65;114.19;0;11;0.13
lc205;100;1;3;588.88;300.00;209;0;250.43;49.41;0;7;0.13
lc206;100;1;3;588.49;300.00;177;1;242.92;56.94;0;7;0.10
lc207;100;1;3;588.29;300.00;181;1;231.46;68.40;0;7;0.11
lc208;100;1;3;588.32;300.00;168;1;227.98;71.88;0;7;0.10
lr101;100;1;19;1650.80;300.00;274;1;221.80;77.94;0;35;0.24
lr102;100;1;17;1487.57;300.00;235;1;210.54;89.04;0;44;0.39
lr103;100;1;13;1292.68;300.00;249;1;224.93;74.66;0;35;0.38
lr104;100;1;9;1013.39;300.00;251;1;248.02;51.78;0;21;0.18
lr105;100;1;14;1377.11;300.00;290;1;233.44;66.31;0;31;0.22
lr106;100;1;12;1252.62;300.00;292;1;238.35;61.42;0;25;0.20
lr107;100;1;10;1111.31;300.00;260;1;244.91;54.87;0;24;0.19
lr108;100;1;9;968.97;300.00;265;1;245.20;54.60;0;19;0.17
lr109;100;1;11;1208.96;300.00;283;1;245.23;54.54;0;26;0.20
lr110;100;1;10;1159.35;300.00;270;1;245.98;53.81;0;23;0.19
lr111;100;1;10;1108.90;300.00;274;1;241.73;58.04;0;26;0.20
lr112;100;1;9;1003.77;300.00;243;1;245.63;54.17;0;22;0.17
lr201;100;1;4;1253.23;300.00;160;1;239.98;59.89;0;10;0.10
lr202;100;1;3;1197.67;300.00;128;1;254.35;45.49;0;11;0.14
lr203;100;1;3;949.40;300.00;99;1;213.56;86.22;0;14;0.19
lr204;100;1;2;849.05;300.00;360;1;104.13;195.66;0;6;0.20
lr205;100;1;3;1054.02;300.00;133;1;221.35;78.48;0;14;0.15
lr206;100;1;3;931.63;300.00;84;1;237.20;62.73;0;7;0.05
lr207;100;1;2;903.06;300.00;311;1;103.33;196.49;0;5;0.18
lr208;100;1;2;734.85;300.00;270;1;82.51;217.33;0;5;0.16
lr209;100;1;3;930.59;300.00;97;1;225.57;74.14;0;33;0.27
lr210;100;1;3;964.22;300.00;101;1;225.70;74.15;0;10;0.12
lr211;100;1;2;911.52;300.00;425;1;93.40;206.36;0;5;0.24
lrc101;100;1;14;1708.80;300.00;300;1;236.30;63.44;0;30;0.22
lrc102;100;1;12;1558.07;300.00;284;1;243.25;56.51;0;30;0.21
lrc103;100;1;11;1258.74;300.00;278;1;240.85;58.93;0;24;0.19
lrc104;100;1;10;1128.40;300.00;232;1;235.12;64.70;0;22;0.16
lrc105;100;1;13;1637.62;300.00;290;1;236.53;63.23;0;29;0.22
lrc106;100;1;11;1424.73;300.00;299;1;245.27;54.49;0;26;0.21
lrc107;100;1;11;1230.14;300.00;272;1;238.58;61.20;0;26;0.20
lrc108;100;1;10;1147.43;300.00;260;1;246.36;53.43;0;22;0.18
lrc201;100;1;4;1406.94;300.00;133;1;246.74;52.95;0;21;0.29
lrc202;100;1;3;1374.27;300.00;189;1;254.95;44.91;0;7;0.12
lrc203;100;1;3;1089.07;300.00;70;1;253.34;46.57;0;10;0.07
lrc204;100;1;3;818.66;300.00;55;1;237.80;62.14;0;7;0.03
lrc205;100;1;4;1302.20;300.00;154;1;228.64;71.24;0;9;0.10
lrc206;100;1;3;1159.03;300.00;152;1;237.32;62.56;0;8;0.10
lrc207;100;1;3;1062.05;300.00;109;1;241.40;58.45;0;10;0.13
lrc208;100;1;3;852.76;300.00;78;1;232.38;67.44;0;16;0.16
LC1_2_1;200;1;20;2704.57;900.00;508;0;718.27;181.09;0;28;0.53
LC1_2_2;200;1;19;2764.56;900.00;464;1;719.23;179.41;0;52;1.25
LC1_2_3;200;1;17;3133.75;900.00;399;1;708.39;189.68;2;63;1.82
LC1_2_4;200;1;17;2693.41;900.00;229;1;514.13;383.17;0;135;2.62
LC1_2_5;200;1;20;2702.05;900.00;480;0;716.75;182.63;0;30;0.52
LC1_2_6;200;1;20;2701.04;900.00;453;1;726.45;172.95;0;32;0.49
LC1_2_7;200;1;20;2701.04;900.00;423;0;725.10;174.32;0;34;0.48
LC1_2_8;200;1;19;3404.95;900.00;391;2;736.48;161.29;0;83;2.14
LC1_2_9;200;1;18;2724.24;900.00;299;1;726.22;173.03;0;46;0.67
LC1_2_10;200;1;17;2942.13;900.00;318;1;718.96;178.75;1;78;2.21
LC2_2_1;200;1;6;1931.44;900.00;458;1;774.54;124.98;0;10;0.37
LC2_2_2;200;1;6;1881.40;900.00;306;1;684.40;215.23;0;14;0.28
LC2_2_3;200;1;6;1844.33;900.00;266;1;548.73;350.62;0;20;0.56
LC2_2_4;200;1;6;1767.12;900.00;204;1;467.57;431.65;0;31;0.65
LC2_2_5;200;1;6;1891.21;900.00;370;1;761.72;137.86;0;13;0.33
LC2_2_6;200;1;6;1857.78;900.00;302;1;667.87;231.78;0;13;0.26
LC2_2_7;200;1;6;1850.13;900.00;309;1;703.79;195.75;0;15;0.37
LC2_2_8;200;1;6;1824.34;900.00;233;1;618.30;280.95;0;27;0.66
LC2_2_9;200;1;6;1854.21;900.00;288;1;652.59;247.06;0;14;0.26
LC2_2_10;200;1;6;1817.45;900.00;227;1;595.47;304.24;0;13;0.21
LR1_2_1;200;1;20;4819.12;900.00;508;1;728.97;170.25;0;45;0.66
LR1_2_2;200;1;17;4621.21;900.00;437;1;733.05;164.91;0;64;1.93
LR1_2_3;200;1;14;4402.38;900.00;407;2;645.71;247.58;2;198;6.60
LR1_2_4;200;1;10;3031.20;900.00;210;1;646.81;250.35;2;182;2.77
LR1_2_5;200;1;16;4760.18;900.00;472;1;761.04;137.63;0;58;1.22
LR1_2_6;200;1;13;4835.27;900.00;487;1;736.86;160.44;0;70;2.57
LR1_2_7;200;1;12;3550.61;900.00;340;1;670.06;225.33;2;209;4.51
LR1_2_8;200;1;9;2801.91;900.00;204;1;698.85;198.85;2;148;2.24
LR1_2_9;200;1;14;4402.86;900.00;367;1;767.00;130.34;1;100;2.57
LR1_2_10;200;1;11;3740.48;900.00;371;2;751.94;144.91;1;91;3.06
LR2_2_1;200;1;5;4073.10;900.00;213;1;757.50;142.02;0;17;0.40
LR2_2_2;200;1;4;3796.00;900.00;110;1;785.16;114.48;0;32;0.30
LR2_2_3;200;1;4;3098.36;900.00;73;1;774.03;125.80;0;14;0.11
LR2_2_4;200;1;3;2486.00;900.00;152;1;404.74;493.98;1;76;1.09
LR2_2_5;200;1;4;3438.39;900.00;78;1;828.86;71.04;0;10;0.07
LR2_2_6;200;1;3;4802.49;900.00;78;1;857.04;42.75;2;22;0.18
LR2_2_7;200;1;3;3175.76;900.00;43;1;807.78;91.83;1;103;0.35
LR2_2_8;200;1;2;2857.25;900.00;366;1;434.74;464.48;0;12;0.64
